array_size          ,Time(s)             ,Speedup             ,procnum             
16384               ,0.001430            ,1.000000            ,1                   
16384               ,0.000788            ,1.814721            ,2                   
16384               ,0.000684            ,2.090643            ,4                   
16384               ,0.000622            ,2.299035            ,8                   
65536               ,0.006444            ,1.000000            ,1                   
65536               ,0.003581            ,1.799497            ,2                   
65536               ,0.002201            ,2.927760            ,4                   
65536               ,0.002025            ,3.182222            ,8                   
262144              ,0.029598            ,1.000000            ,1                   
262144              ,0.016107            ,1.837586            ,2                   
262144              ,0.010607            ,2.790421            ,4                   
262144              ,0.008047            ,3.678141            ,8                   
1048576             ,0.129195            ,1.000000            ,1                   
1048576             ,0.072732            ,1.776316            ,2                   
1048576             ,0.046763            ,2.762761            ,4                   
1048576             ,0.031719            ,4.073111            ,8                   
4194304             ,0.584864            ,1.000000            ,1                   
4194304             ,0.327956            ,1.783361            ,2                   
4194304             ,0.199234            ,2.935563            ,4                   
4194304             ,0.136412            ,4.287482            ,8                   
